Work Item Id,Work Item Type,Project Name,Iteration Path,Assigned To,Area Path,Date,Created Date,Activated Date,Resolved Date,Closed Date,Cycle Time Resolved,Changed Date,Iteration Start Date,Iteration End Date,State,State Category,Is Current
3097905,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899101,2023-07-18 00:00:00,2022-05-16 00:00:00,2022-06-02 00:00:00,2022-06-02 00:00:00,2022-06-02 00:00:00,1,2022-06-02 00:00:00,,,Closed,Completed,TRUE
4094190,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899101,2023-07-18 00:00:00,2023-01-06 00:00:00,2023-01-25 00:00:00,2023-01-25 00:00:00,2023-01-25 00:00:00,1,2023-01-25 00:00:00,,,Closed,Completed,TRUE
2546657,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899104,2023-07-18 00:00:00,2021-12-06 00:00:00,2021-12-06 00:00:00,2021-12-06 00:00:00,2021-12-07 00:00:00,2,2021-12-15 00:00:00,,,Closed,Completed,TRUE
2747457,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899104,2023-07-18 00:00:00,2022-02-15 00:00:00,2022-03-03 00:00:00,2022-03-03 00:00:00,2022-03-03 00:00:00,1,2023-03-10 00:00:00,,,Closed,Completed,TRUE
4285605,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465899104,2023-07-18 00:00:00,2023-02-15 00:00:00,2023-02-17 00:00:00,2023-02-17 00:00:00,2023-02-17 00:00:00,1,2023-04-20 00:00:00,,,Closed,Completed,TRUE
4241353,Bug,MP-8465878480,AR-8465878480,AM-8397116105,AR-8465899104,2023-07-18 00:00:00,2023-02-06 00:00:00,2023-02-06 00:00:00,2023-02-06 00:00:00,2023-02-06 00:00:00,1,2023-03-10 00:00:00,,,Closed,Completed,TRUE
4593740,User Story,MP-8465878480,AR-8465878480,AM-8397197110,AR-8465801115,2023-07-18 00:00:00,2023-05-01 00:00:00,2023-07-18 00:00:00,,,0,2023-07-18 00:00:00,,,Active,InProgress,TRUE
4998830,User Story,MP-8465878480,AR-8465878480,AM-8397197110,AR-8465801115,2023-07-18 00:00:00,2023-07-17 00:00:00,2023-07-18 00:00:00,,,0,2023-07-18 00:00:00,,,Active,InProgress,TRUE
2142115,User Story,MP-8465878480,AR-8465878480,AM-8397908101,AR-8465801115,2023-07-18 00:00:00,2021-08-05 00:00:00,2021-08-05 00:00:00,2021-08-05 00:00:00,2021-08-06 00:00:00,2,2023-03-10 00:00:00,,,Closed,Completed,TRUE
2142442,User Story,MP-8465878480,AR-8465878480,AM-8397908101,AR-8465801115,2023-07-18 00:00:00,2021-08-05 00:00:00,2021-08-09 00:00:00,2021-08-09 00:00:00,2021-08-10 00:00:00,2,2023-03-10 00:00:00,,,Closed,Completed,TRUE
2175381,User Story,MP-8465878480,AR-8465878480,AM-8397908101,AR-8465801115,2023-07-18 00:00:00,2021-08-11 00:00:00,2021-08-11 00:00:00,2021-08-11 00:00:00,2021-08-12 00:00:00,2,2023-03-10 00:00:00,,,Closed,Completed,TRUE
2176778,User Story,MP-8465878480,AR-8465878480,AM-8397908101,AR-8465801115,2023-07-18 00:00:00,2021-08-11 00:00:00,2021-08-11 00:00:00,2021-08-11 00:00:00,2021-08-12 00:00:00,2,2023-03-10 00:00:00,,,Closed,Completed,TRUE
